,Message
Blazer:CannotAutoendogenize,Cannot autoendogenize this name: %s 
Blazer:CannotAutoexogenize,Cannot autoexogenize this name: %s 
Blazer:CannotEndogenize,Cannot endogenize this name: %s 
Blazer:CannotExogenize,Cannot exogenize this name: %s 
Blazer:CannotRunLinear,Cannot run Blazer on linear models.
Blazer:NumberEquationsEndogenized,Number of endogenized names [%g] fails to match number of equations [%g].
Config:InvalidOptionName,This is not a valid IRIS config option: %s 
Config:InvalidOptionValue,New value for this option failed validation: %s
Config:ProtectedOption,This option is not customizable: %s
Datafeed:FeedUnknownFrequency, Date frequency of this Datafeed series unknown; series not loaded: %s
Dates:CalendarFormatForDaily, Calendar date format (starting with a $) must be specified for daily-frequency dates.
Dates:MixedFrequency,Mixed frequency date vector not allowed in this context: %s
Dates:OnlyScalarFormatAllowed, "Only one single DateFormat= allowed in str2dat( )."
Dates:UnrecognizedFrequency,Unrecognized date frequency.
Dbase:CannotDetermineRange,Cannot determine range because no time series entries have been found in input database
Dbase:DbfunReportError,Error occured when processing this database entry: %s \n$ENGINE$ says: %s
Dbase:DbfunReportWarning,Warning occured when processing this database entry: %s \n$ENGINE$ says: %s
Dbase:EntrySizeMismatch,This database entry does not match the size of other entries: %s
Dbase:EntryFrequencyMismatch,This database entry does not match the date frequency requested: %s
Dbase:EntryNotSeries,This name exists in input database but is not a time series: %s
Dbase:InvalidLoadFormat, This CSV file contains data in invalid format or no delimiter-separated values: %s
Dbase:LoadMixedFrequency, This CSV file contains dates with mixed frequencies: %s 
Dbase:ErrorLoadingUserData, Error when reconstructing user data from this CSV file: %s\nUncle says: %s
Dbase:InvalidOptionNameFunc, Option NameFunc= must be function returning text string.
Dbase:NameNotExist,This name does not exist in input database: %s
DateWrapper:InvalidDateFormat,"Invalid date format; must be char, string, cellstr, or struct."
Distribution:InvalidParameterization,"This is not a valid type of parameterization for %s distribution: %s"
Dynamic:EvaluatesToNan,This dynamic equation evaluates to NaN or Inf in period %1: %s
Equation:InvalidDefinition,This definition has an invalid LHS: %s 
Equation:InvalidLhsDtrend,Invalid LHS in this dtrend equation: %s 
Equation:InvalidLhsLink,Invalid LHS in this !link equation: %s 
Equation:InvalidLhsLinkLock,This is not a valid LHS name in !links equations: %s 
Equation:InvalidLhsRevision,Invalid LHS in this !revisions equation: %s 
Equation:InvalidLhsRevisionLock,This is not a valid LHS name in !revisions equations: %s 
Equation:LhsVariableMustLogInDtrend,The LHS variable must be in log in this dtrend equation: %s 
Equation:LossFuncDiscountEmpty,Loss function discount factor is empty or has umatched bracket: %s 
Equation:LossFuncMustBeTransition,Loss function min( ) or min#( ) must be a transition equation 
Equation:MultipleLhsDtrend,Mutliple dtrend equations for this measurement variable: %s 
Equation:MultipleLossFunc,Multiple loss functions found.
Equation:StdCorrInOtherThanLink,Std_ or corr_ name '%s' cannot be used in equations other than dynamic links: %s 
Equation:UndeclaredMistypedName,Undeclared or mistyped name '%s' in this equation: %s 
General:Internal,Internal IRIS error. Please report this error to IRIS Solutions Team.
General:InvalidAssignment,Invalid assignment to a %1 object.
General:InvalidInput,Expecting input argument <%s> but none found or its value fails validation.
General:InvalidReference,Invalid subscripted reference or assignment to a %1 object.
GetterSetter:InvalidGetQuery,This is not a valid get query to %1 object: %s 
GetterSetter:InvalidSetRequest,This is not a valid set request in %1 object: %s
GetterSetter:InvalidSetValue,Invalid value in this set request in %1 object: %s
Global:CannotRunLead,Cannot run global simulations on models with leads.
Global:EvaluatesToNanInfImag,"This equation evaluates to a NaN, Inf, or complex number when simulated at t=%1 in P#%2: %s "
Global:SolveBlockFailed,Global nonlinear simulation stopped prematurely at t=%s in P#%g. \nMax abs discrepancy %g in this equation: %s
Grouping:CannotRemoveGroup, The ''Other'' group cannot be removed
Grouping:NotExistCannotRemove, This group does not exist and cannot be removed: %s 
Grouping:NotExistCannotSplit, This group does not exist and cannot be split: %s 
Grouping:InvalidType, Invalid grouping type: %s 
Grouping:MultipleOccurrence, This %1 name is assigned to multiple groups: %s
Grouping:InvalidName, This is not a valid %1 name in the grouping object: %s  
